Year,Month,Day,Hour,Minute,Second,Millisecond,taskTime,state,stateNumber,posENU.x,posENU.y,posENU.z,rpyDeg.x,rpyDeg.y,rpyDeg.z,desiredPoint.x,desiredPoint.y,desiredPoint.z
2023,11,14,15,05,14,817,3.00407e-05,0,0,-0.643373,-0.121507,-1.00516,0,-0.572958,26.2415,0,0,0
2023,11,14,15,05,14,818,0.000837088,0,0,-0.505515,-0.212906,-1.0037,0,-0.40107,27.1582,0,0,0
2023,11,14,15,05,14,838,0.0208979,0,0,-0.505515,-0.212906,-1.0037,0,-0.40107,27.1582,0,0,0
2023,11,14,15,05,14,858,0.0409052,0,0,-0.617836,-0.132748,-1.0047,0,-0.40107,27.1582,0,0,0
2023,11,14,15,05,14,878,0.0609105,0,0,-0.617836,-0.132748,-1.0047,0,-0.40107,27.1582,0,0,0
2023,11,14,15,05,14,898,0.0809209,0,0,-0.612273,-0.138052,-1.00466,0,-0.40107,27.1582,0,0,0
2023,11,14,15,05,14,918,0.10091,0,0,-0.612273,-0.138052,-1.00466,0,-0.40107,27.1582,0,0,0
2023,11,14,15,05,14,938,0.120902,0,0,-0.612273,-0.138052,-1.00466,0,-0.40107,27.1582,0,0,0
2023,11,14,15,05,14,958,0.140913,0,0,-0.595807,-0.148785,-1.00451,0,-0.40107,27.1582,0,0,0
2023,11,14,15,05,14,978,0.160913,0,0,-0.595807,-0.148785,-1.00451,0,-0.40107,27.1582,0,0,0
2023,11,14,15,05,14,998,0.18088,0,0,-0.581907,-0.159794,-1.00436,0,-0.40107,27.1582,0,0,0
2023,11,14,15,05,15,018,0.200921,0,0,-0.576731,-0.162281,-1.00433,0,-0.40107,27.1582,0,0,0
2023,11,14,15,05,15,038,0.220914,0,0,-0.576731,-0.162281,-1.00433,0,-0.40107,27.1582,0,0,0
2023,11,14,15,05,15,058,0.240922,0,0,-0.566654,-0.168807,-1.00423,0,-0.40107,27.1582,0,0,0
2023,11,14,15,05,15,078,0.260906,0,0,-0.566654,-0.168807,-1.00423,0,-0.40107,27.1582,0,0,0
2023,11,14,15,05,15,098,0.280929,0,0,-0.566654,-0.168807,-1.00423,0,-0.40107,27.1582,0,0,0
