Year,Month,Day,Hour,Minute,Second,Millisecond,taskTime,state,stateNumber,posENU.x,posENU.y,posENU.z,rpyDeg.x,rpyDeg.y,rpyDeg.z,desiredPoint.x,desiredPoint.y,desiredPoint.z
2023,11,02,17,47,32,892,2.57492e-05,0,0,-0.635037,0.221222,0.15888,-0.630254,1.54699,275.249,0,0,0
2023,11,02,17,47,32,893,0.000850916,0,0,-0.611228,0.212971,0.1613,-0.572958,1.54699,275.306,0,0,0
2023,11,02,17,47,32,913,0.0209122,0,0,-0.611228,0.212971,0.1613,-0.572958,1.54699,275.306,0,0,0
2023,11,02,17,47,32,933,0.0409224,0,0,-0.611228,0.212971,0.1613,-0.572958,1.54699,275.306,0,0,0
2023,11,02,17,47,32,953,0.0608802,0,0,-0.624079,0.230016,0.1608,-0.572958,1.54699,275.306,0,0,0
2023,11,02,17,47,32,973,0.0809166,0,0,-0.624079,0.230016,0.1608,-0.630254,1.54699,275.306,0,0,0
2023,11,02,17,47,32,993,0.100916,0,0,-0.619043,0.203212,0.1589,-0.572958,1.54699,275.306,0,0,0
2023,11,02,17,47,33,013,0.120919,0,0,-0.619043,0.203212,0.1589,-0.572958,1.54699,275.306,0,0,0
2023,11,02,17,47,33,033,0.140915,0,0,-0.617176,0.222476,0.15962,-0.572958,1.54699,275.306,0,0,0
2023,11,02,17,47,33,053,0.160918,0,0,-0.617176,0.222476,0.15962,-0.572958,1.54699,275.306,0,0,0
2023,11,02,17,47,33,073,0.180911,0,0,-0.617176,0.222476,0.15962,-0.572958,1.54699,275.306,0,0,0
2023,11,02,17,47,33,093,0.200929,0,0,-0.635163,0.20394,0.15992,-0.630254,1.54699,275.306,0,0,0
2023,11,02,17,47,33,113,0.220914,0,0,-0.645869,0.199426,0.1611,-0.630254,1.54699,275.306,0,0,0
2023,11,02,17,47,33,133,0.240922,0,0,-0.645869,0.199426,0.1611,-0.630254,1.54699,275.306,0,0,0
2023,11,02,17,47,33,153,0.26091,0,0,-0.645869,0.199426,0.1611,-0.630254,1.54699,275.306,0,0,0
2023,11,02,17,47,33,173,0.280916,0,0,-0.62953,0.206558,0.1598,-0.630254,1.60428,275.249,0,0,0
2023,11,02,17,47,33,193,0.300916,0,0,-0.62953,0.206558,0.1598,-0.630254,1.60428,275.249,0,0,0
2023,11,02,17,47,33,213,0.320922,0,0,-0.605606,0.209875,0.1572,-0.630254,1.60428,275.249,0,0,0
